Date,Temperature,Rainfall,Humidity,Pressure,WindSpeed
1990-02-27,27.66,16.48,86.94,1010.84,8.75
1990-02-28,29.75,13.07,81.05,1012.55,10.71
1990-03-01,29.17,27.0,85.54,1012.44,11.26
1990-03-02,29.01,12.4,87.74,1011.83,9.96
1990-03-03,30.14,30.78,81.04,1011.64,9.6
1990-03-04,29.74,28.99,88.13,1012.44,12.61
1990-03-05,30.03,24.82,82.45,1010.97,9.74
1990-03-06,30.12,23.95,79.91,1016.28,7.99
1990-03-07,28.54,29.58,87.96,1011.87,11.26
1990-03-08,29.99,9.03,84.38,1007.97,11.95
1990-03-09,29.82,9.75,82.39,1011.24,8.87
1990-03-10,29.01,20.44,85.22,1008.48,9.06
1990-03-11,30.28,3.52,76.96,1007.84,9.57
1990-03-12,30.37,32.75,88.29,1009.52,9.96
1990-03-13,28.8,17.81,82.56,1010.97,8.35
1990-03-14,30.62,33.33,83.46,1011.21,11.38
1990-03-15,29.52,20.24,84.06,1010.29,8.45
1990-03-16,30.03,22.98,91.26,1012.88,14.31
1990-03-17,29.08,26.72,84.92,1016.57,8.38
1990-03-18,28.99,12.01,73.38,1008.42,8.48
1990-03-19,30.18,21.42,93.38,1012.85,8.85
1990-03-20,28.92,22.92,77.4,1015.49,12.36
1990-03-21,29.44,0.87,90.77,1009.66,12.48
1990-03-22,28.09,12.01,84.03,1010.14,9.1
1990-03-23,30.75,7.32,83.29,1010.36,11.03
1990-03-24,30.85,6.75,76.33,1013.83,10.66
1990-03-25,29.1,33.51,84.58,1013.54,10.14
1990-03-26,32.47,35.55,82.76,1012.91,11.29
1990-03-27,31.64,8.35,87.43,1013.18,6.48
1990-03-28,28.58,0.0,82.65,1012.15,13.0
1990-03-29,30.09,34.29,77.1,1004.89,9.89
1990-03-30,30.46,17.67,73.66,1009.73,7.39
1990-03-31,30.8,21.67,79.3,1008.46,7.88
1990-04-01,29.92,27.55,79.07,1011.51,8.94
1990-04-02,29.05,16.93,78.82,1008.34,7.6
1990-04-03,32.36,18.35,80.5,1010.64,9.78
1990-04-04,29.73,24.14,87.79,1008.41,8.85
1990-04-05,29.67,0.0,76.42,1014.1,13.29
1990-04-06,29.7,23.77,85.56,1019.24,12.24
1990-04-07,29.85,8.44,75.97,1010.61,8.49
1990-04-08,28.29,11.53,78.59,1015.06,11.76
1990-04-09,29.99,32.8,84.39,1007.42,13.05
1990-04-10,30.65,7.63,83.05,1007.37,7.23
1990-04-11,31.11,37.09,77.01,1011.69,8.7
1990-04-12,29.42,12.08,79.68,1010.15,8.34
1990-04-13,30.32,17.5,82.81,1007.28,8.85
1990-04-14,30.91,23.01,79.11,1010.3,11.5
1990-04-15,28.0,23.43,80.69,1011.71,8.47
1990-04-16,27.83,1.72,84.24,1010.78,8.19
1990-04-17,30.77,1.38,83.67,1006.37,8.7
1990-04-18,30.06,9.4,82.08,1013.02,8.85
1990-04-19,31.0,6.7,86.65,1014.32,5.06
1990-04-20,29.04,23.77,82.98,1011.11,8.79
1990-04-21,30.1,16.44,89.84,1010.76,10.68
1990-04-22,29.51,13.12,81.84,1011.18,9.16
1990-04-23,30.35,38.75,88.36,1009.02,12.4
1990-04-24,29.51,0.0,78.96,1004.39,9.3
1990-04-25,30.02,34.76,85.63,1009.34,11.66
1990-04-26,27.35,20.36,87.85,1005.56,12.29
1990-04-27,30.41,13.85,87.16,1016.81,10.36
1990-04-28,30.3,13.41,79.75,1012.49,8.29
1990-04-29,30.09,13.22,86.39,1011.0,12.08
1990-04-30,29.39,15.3,79.11,1008.67,10.75
1990-05-01,33.98,1.16,72.22,1014.07,10.83
1990-05-02,35.44,1.45,59.53,1004.66,12.99
1990-05-03,33.85,2.89,68.68,1006.62,14.89
1990-05-04,33.17,3.22,71.35,1011.44,10.45
1990-05-05,31.97,3.94,78.29,1014.04,13.19
1990-05-06,32.34,1.02,66.25,1010.17,12.19
1990-05-07,30.8,6.06,66.05,1008.72,7.98
1990-05-08,30.85,4.65,67.44,1006.13,7.41
1990-05-09,32.56,6.34,65.44,1005.49,9.51
1990-05-10,32.65,0.0,66.67,1009.31,11.39
1990-05-11,35.4,5.25,65.39,1006.68,15.15
1990-05-12,33.08,3.03,66.86,1010.59,9.71
1990-05-13,32.25,1.91,66.8,1008.37,8.57
1990-05-14,33.14,2.49,76.02,1002.05,12.18
1990-05-15,34.62,0.0,64.94,1008.89,7.18
1990-05-16,31.99,0.78,77.51,1012.81,12.54
1990-05-17,33.94,0.74,63.85,1011.47,7.56
1990-05-18,33.93,2.52,64.75,1012.13,10.89
1990-05-19,32.53,5.32,60.51,1011.85,11.19
1990-05-20,32.6,3.65,59.49,1012.77,9.63
1990-05-21,32.32,5.1,62.77,1005.77,6.89
1990-05-22,33.79,0.44,77.53,1003.75,13.39
1990-05-23,33.27,2.81,63.73,1011.2,9.92
1990-05-24,34.43,3.23,67.9,1008.91,9.89
1990-05-25,33.4,0.0,58.91,1012.23,10.34
1990-05-26,32.76,3.04,69.09,1008.38,8.44
1990-05-27,33.25,1.04,69.45,1004.89,12.06
1990-05-28,33.61,3.51,72.9,1015.0,12.03
1990-05-29,30.61,0.44,63.25,1010.08,11.04
1990-05-30,32.06,3.37,62.47,1008.17,7.19
1990-05-31,31.8,0.3,61.14,1013.16,8.1
1990-06-01,36.42,3.99,68.11,1007.42,11.4
1990-06-02,32.25,3.24,82.36,1009.71,12.3
1990-06-03,32.09,2.93,77.62,1008.12,13.62
1990-06-04,33.92,1.88,70.79,1012.92,11.24
1990-06-05,30.96,1.55,65.51,1009.78,11.24
1990-06-06,33.23,0.33,69.28,1011.83,11.12
1990-06-07,34.41,4.67,69.76,1009.79,6.68
1990-06-08,33.56,3.42,68.63,1006.17,7.84
1990-06-09,34.37,2.92,71.09,1010.08,10.06
1990-06-10,34.22,1.97,67.58,1008.61,9.13
1990-06-11,32.6,3.44,64.13,1013.77,8.21
1990-06-12,32.76,2.12,75.68,1010.59,12.06
1990-06-13,31.07,3.53,72.34,1010.25,12.13
1990-06-14,32.33,5.82,80.79,1008.91,9.11
1990-06-15,34.89,6.16,63.86,1008.74,9.44
1990-06-16,31.25,1.16,60.98,1007.7,9.93
1990-06-17,33.3,6.1,61.01,1012.95,9.57
1990-06-18,32.94,4.35,60.26,1011.15,10.33
1990-06-19,33.64,3.58,81.73,1008.09,8.94
1990-06-20,32.19,1.89,63.18,1013.57,12.84
1990-06-21,32.26,1.34,69.83,1008.34,11.27
1990-06-22,33.26,0.0,76.29,1015.39,8.77
1990-06-23,32.5,3.57,69.01,1011.98,14.02
1990-06-24,32.77,1.4,58.72,1007.81,9.93
1990-06-25,35.33,1.96,68.34,1009.95,12.38
1990-06-26,36.29,1.94,64.06,1013.13,11.36
1990-06-27,35.4,4.17,64.84,1011.77,12.22
1990-06-28,34.07,4.01,73.4,1013.51,12.76
1990-06-29,33.84,2.67,67.88,1013.62,8.37
1990-06-30,33.48,2.21,67.17,1013.84,10.38
1990-07-01,33.06,0.28,71.48,1011.94,14.33
1990-07-02,32.6,3.44,68.5,1014.73,9.81
1990-07-03,33.36,4.22,68.12,1008.66,10.39
1990-07-04,34.4,0.95,67.8,1007.9,12.39
1990-07-05,31.02,1.88,69.26,1014.7,9.87
1990-07-06,32.28,6.76,58.31,1003.4,10.88
1990-07-07,32.35,0.96,71.25,1010.73,8.87
1990-07-08,31.34,4.74,70.9,1009.7,13.69
1990-07-09,31.61,0.0,62.85,1009.86,10.49
1990-07-10,32.69,3.7,59.49,1014.33,9.84
1990-07-11,34.45,3.69,69.74,1011.71,10.9
1990-07-12,33.84,5.66,68.18,1012.13,9.82
1990-07-13,34.87,1.65,77.81,1009.88,7.14
1990-07-14,33.17,1.64,72.04,1008.04,9.11
1990-07-15,30.54,2.1,52.46,1005.25,11.52
1990-07-16,34.02,3.85,61.2,1009.86,9.99
1990-07-17,31.49,6.01,72.26,1009.34,10.05
1990-07-18,33.27,0.0,65.52,1007.95,8.0
1990-07-19,32.63,6.6,70.85,1008.29,11.15
1990-07-20,34.82,4.85,67.36,1008.06,11.4
1990-07-21,33.51,4.79,70.81,1013.15,8.93
1990-07-22,34.71,3.4,79.45,1007.93,13.47
1990-07-23,33.26,1.7,64.1,1009.04,10.85
1990-07-24,33.68,1.85,66.85,1016.43,13.46
1990-07-25,33.57,3.08,67.72,1011.84,7.95
1990-07-26,32.67,0.0,69.4,1011.94,9.03
1990-07-27,35.05,0.55,58.21,1010.67,12.09
1990-07-28,35.19,2.08,73.47,1009.88,9.65
1990-07-29,34.15,4.3,57.54,1014.43,12.76
1990-07-30,32.19,3.79,69.96,1010.78,8.9
1990-07-31,32.13,2.95,74.04,1011.63,9.26
1990-08-01,34.0,0.0,73.89,1004.78,9.28
1990-08-02,31.54,0.41,73.96,1008.6,10.69
1990-08-03,32.94,3.95,67.46,1006.15,11.99
1990-08-04,32.36,0.0,64.43,1014.5,11.7
1990-08-05,32.55,2.3,65.07,1016.23,10.76
1990-08-06,33.56,5.06,68.43,1009.22,9.61
1990-08-07,32.91,2.93,71.37,1010.16,11.47
1990-08-08,32.9,3.16,55.01,1012.75,10.69
1990-08-09,34.3,0.0,79.53,1009.58,12.22
1990-08-10,31.65,4.23,60.68,1008.13,13.83
1990-08-11,32.75,3.43,72.22,1011.49,10.3
1990-08-12,33.47,7.81,66.65,1010.6,12.1
1990-08-13,34.44,5.37,70.83,1006.57,13.27
1990-08-14,31.51,3.61,62.47,1009.81,10.66
1990-08-15,33.42,3.84,76.68,1011.36,9.51
1990-08-16,34.25,5.38,59.63,1011.79,11.4
1990-08-17,32.61,5.75,66.1,1010.38,9.65
1990-08-18,33.02,0.81,58.36,1014.78,8.31
1990-08-19,31.71,0.0,63.17,1006.03,13.28
1990-08-20,34.31,1.62,80.51,1012.95,9.35
1990-08-21,29.75,7.58,58.66,1005.06,12.05
1990-08-22,36.17,5.77,70.38,1011.78,11.71
1990-08-23,33.99,3.56,67.63,1009.81,8.49
1990-08-24,32.64,0.0,66.41,1007.03,7.79
1990-08-25,33.23,5.78,72.51,1005.29,8.02
1990-08-26,34.22,1.04,65.65,1011.65,8.06
1990-08-27,33.14,0.33,63.39,1010.96,6.81
1990-08-28,33.57,2.96,70.31,1010.67,12.73
1990-08-29,33.16,2.14,67.73,1011.63,10.1
1990-08-30,33.05,1.6,63.02,1005.79,13.5
1990-08-31,31.38,1.61,62.69,1012.68,9.41
1990-09-01,34.62,1.65,68.67,1007.49,14.29
1990-09-02,31.46,3.62,70.8,1011.24,9.63
1990-09-03,32.83,3.09,66.12,1012.89,14.42
1990-09-04,32.28,0.26,66.47,1017.74,8.39
1990-09-05,35.13,6.36,63.68,1011.71,13.26
1990-09-06,32.51,2.59,63.51,1006.96,8.7
1990-09-07,31.41,3.07,62.38,1010.7,6.89
1990-09-08,33.43,4.67,55.04,1011.12,12.46
1990-09-09,31.43,6.35,69.51,1007.88,9.89
1990-09-10,33.73,3.15,70.23,1007.24,10.34
1990-09-11,31.16,2.78,61.58,1007.79,12.47
1990-09-12,34.42,4.22,60.45,1009.05,12.43
1990-09-13,33.18,7.64,69.36,1010.58,9.38
1990-09-14,33.17,2.7,71.25,1012.87,8.43
1990-09-15,31.27,0.0,70.05,1006.69,5.69
1990-09-16,33.51,7.99,66.96,1012.52,10.16
1990-09-17,32.87,4.84,65.26,1010.8,10.64
1990-09-18,32.13,4.98,65.95,1007.73,11.07
1990-09-19,31.83,3.06,66.95,1013.26,10.95
1990-09-20,32.97,4.64,75.34,1011.67,10.02
1990-09-21,31.29,0.87,65.17,1008.17,9.63
1990-09-22,33.07,4.06,66.58,1011.46,10.13
1990-09-23,30.43,1.12,66.14,1006.37,11.2
1990-09-24,34.99,5.44,65.72,1014.47,10.3
1990-09-25,32.56,1.77,65.19,1008.84,10.34
1990-09-26,33.21,3.01,69.62,1013.57,11.9
1990-09-27,31.07,0.0,72.61,1005.9,9.55
1990-09-28,31.48,0.0,70.25,1012.28,8.85
1990-09-29,29.63,1.91,69.35,1005.56,10.37
1990-09-30,32.98,4.16,67.72,1007.08,12.39
1990-10-01,32.79,2.95,61.4,1008.67,8.23
1990-10-02,32.78,6.42,58.77,1005.16,12.94
1990-10-03,32.73,1.66,73.24,1008.18,13.65
1990-10-04,33.88,2.02,79.94,1008.18,11.48
1990-10-05,33.39,5.6,76.37,1010.1,8.49
1990-10-06,33.6,1.64,79.08,1010.41,9.27
1990-10-07,33.24,0.31,61.17,1013.6,8.69
1990-10-08,31.64,4.07,74.11,1012.16,11.99
1990-10-09,32.02,0.16,76.01,1009.03,9.5
1990-10-10,34.73,4.11,69.74,1016.5,8.71
1990-10-11,34.21,3.11,68.61,1014.59,11.02
1990-10-12,33.7,5.15,64.81,1007.48,7.91
1990-10-13,30.44,7.11,60.38,1009.34,9.45
1990-10-14,33.4,4.63,72.16,1008.25,9.67
1990-10-15,33.37,2.5,76.64,1011.47,11.47
1990-10-16,33.86,5.35,68.09,1006.11,10.8
1990-10-17,32.15,1.94,70.52,1013.71,10.04
1990-10-18,33.4,6.4,68.44,1017.81,11.13
1990-10-19,30.71,4.51,69.29,1013.87,11.35
1990-10-20,32.82,0.55,65.75,1007.45,8.84
1990-10-21,33.77,6.34,69.37,1006.41,10.89
1990-10-22,34.56,1.78,66.2,1010.04,8.43
1990-10-23,33.84,2.76,69.52,1007.34,9.13
1990-10-24,33.94,2.25,77.36,1008.8,10.45
1990-10-25,34.21,0.16,56.44,1005.42,12.53
1990-10-26,32.28,8.12,63.61,1010.55,13.08
1990-10-27,35.61,7.12,74.25,1013.07,11.19
1990-10-28,34.01,1.9,62.09,1009.99,9.66
1990-10-29,32.41,4.39,72.73,1010.27,12.96
1990-10-30,31.52,2.61,62.7,1004.4,9.83
1990-10-31,32.84,6.03,70.78,1006.93,13.71
1990-11-01,31.47,23.82,82.87,1007.12,9.26
1990-11-02,31.31,36.85,91.72,1008.53,7.76
1990-11-03,30.17,0.32,85.62,1009.56,9.07
1990-11-04,28.09,23.14,81.34,1006.49,4.26
1990-11-05,29.97,35.72,92.31,1008.63,8.8
1990-11-06,30.56,8.02,85.51,1012.3,12.45
1990-11-07,29.88,15.96,79.61,1007.52,9.55
1990-11-08,30.44,27.14,79.98,1014.48,9.46
1990-11-09,29.97,10.53,71.88,1012.65,11.47
1990-11-10,29.66,18.67,86.58,1005.31,8.94
1990-11-11,30.95,5.46,85.47,1005.93,10.93
1990-11-12,29.96,1.85,89.82,1007.8,8.38
1990-11-13,30.24,29.49,78.92,1010.19,10.86
1990-11-14,30.83,19.76,82.16,1007.52,10.17
1990-11-15,28.71,0.0,86.18,1012.71,5.27
1990-11-16,28.79,24.19,94.29,1010.06,8.54
1990-11-17,29.78,31.75,80.77,1007.6,9.03
1990-11-18,28.86,19.23,92.12,1010.97,9.5
1990-11-19,29.65,2.37,88.42,1009.77,9.64
1990-11-20,33.83,20.99,80.24,1008.72,12.3
1990-11-21,30.14,3.62,88.6,1008.0,13.75
1990-11-22,31.3,13.53,90.41,1010.2,11.71
1990-11-23,30.58,9.54,80.78,1013.09,9.33
1990-11-24,29.52,8.45,86.12,1016.19,7.86
1990-11-25,30.03,32.12,83.6,1011.36,7.88
1990-11-26,30.51,16.13,88.93,1013.56,15.18
1990-11-27,30.7,21.26,84.97,1008.94,10.68
1990-11-28,29.65,19.68,90.59,1006.98,12.28
1990-11-29,31.58,16.82,73.39,1008.18,12.59
1990-11-30,29.97,8.01,81.48,1012.52,11.09
1990-12-01,29.71,14.33,82.04,1007.23,13.23
1990-12-02,29.61,30.17,91.61,1012.99,9.14
1990-12-03,30.48,17.76,79.48,1010.97,7.64
1990-12-04,31.43,13.35,85.01,1010.85,9.48
1990-12-05,30.7,13.25,88.36,1005.96,10.25
1990-12-06,32.33,8.0,80.61,1011.54,10.36
1990-12-07,30.42,22.89,87.17,1013.33,10.82
1990-12-08,29.71,24.73,93.5,1009.6,8.05
1990-12-09,31.33,16.8,73.14,1012.54,8.93
1990-12-10,29.89,21.32,84.95,1012.13,9.13
1990-12-11,30.62,15.4,87.69,1011.85,8.13
1990-12-12,31.3,12.64,88.04,1011.1,13.68
1990-12-13,29.73,14.51,83.9,1009.09,11.6
1990-12-14,28.06,7.46,78.66,1012.85,13.42
1990-12-15,29.87,16.31,84.35,1013.49,8.15
1990-12-16,30.29,27.75,86.51,1010.57,12.0
1990-12-17,26.76,24.78,80.73,1004.51,11.02
1990-12-18,31.65,16.63,88.76,1014.84,12.63
1990-12-19,31.97,25.42,84.38,1005.19,9.51
1990-12-20,28.99,39.71,83.12,1010.37,11.1
1990-12-21,30.05,34.95,80.89,1010.58,8.52
1990-12-22,28.42,11.88,83.81,1008.71,8.62
1990-12-23,28.31,17.17,76.48,1012.28,10.16
1990-12-24,28.25,14.91,80.24,1010.96,12.68
1990-12-25,27.75,19.15,83.2,1012.01,10.43
1990-12-26,29.1,14.81,80.02,1013.23,10.04
1990-12-27,32.28,17.39,80.46,1005.46,6.39
1990-12-28,28.1,20.67,86.54,1005.26,11.79
1990-12-29,29.42,19.47,92.06,1012.69,9.46
1990-12-30,28.93,0.0,80.4,1009.37,8.03
1990-12-31,29.84,18.77,82.88,1008.05,10.34
1991-01-01,30.53,7.1,91.05,1009.7,10.04
1991-01-02,30.85,20.33,88.77,1010.86,8.78
1991-01-03,30.43,6.56,84.54,1009.9,9.58
1991-01-04,29.85,0.0,81.26,1010.28,10.32
1991-01-05,28.77,30.66,79.67,1012.91,10.85
1991-01-06,29.22,35.75,78.03,1012.76,12.0
1991-01-07,29.2,31.92,82.75,1010.87,10.52
1991-01-08,29.84,26.11,87.97,1004.75,12.61
1991-01-09,28.01,28.33,89.63,1006.73,9.18
1991-01-10,28.67,15.85,82.46,1012.34,12.62
1991-01-11,31.67,12.38,82.95,1004.95,8.39
1991-01-12,31.16,34.16,77.83,1008.22,9.95
1991-01-13,30.34,9.9,86.12,1008.58,9.97
1991-01-14,30.66,18.06,81.82,1009.67,9.82
1991-01-15,29.56,15.41,91.99,1011.68,9.41
1991-01-16,30.84,14.66,89.87,1011.11,9.79
1991-01-17,30.54,2.29,78.37,1006.42,10.29
1991-01-18,32.08,40.31,87.19,1011.5,6.4
1991-01-19,29.35,10.12,80.9,1009.5,9.06
1991-01-20,27.62,25.48,78.64,1010.72,14.15
1991-01-21,28.9,0.0,82.57,1013.3,13.92
1991-01-22,28.52,22.97,81.67,1009.68,15.29
1991-01-23,28.2,20.54,86.34,1013.26,10.2
1991-01-24,30.37,14.08,85.35,1008.97,11.24
1991-01-25,29.56,21.77,83.85,1013.38,9.9
1991-01-26,27.87,30.62,79.47,1008.04,8.81
1991-01-27,31.65,0.0,99.69,1013.17,10.45
1991-01-28,29.93,20.86,86.61,1011.94,11.11
1991-01-29,30.11,16.03,83.24,1009.42,12.27
1991-01-30,30.71,0.0,87.28,1010.58,9.96
1991-01-31,29.53,29.24,88.74,1007.68,10.81
1991-02-01,28.83,4.2,80.87,1012.59,11.91
1991-02-02,30.62,25.25,86.58,1008.08,10.86
1991-02-03,30.96,25.54,89.94,1012.12,10.7
1991-02-04,31.28,17.73,79.59,1009.51,8.51
1991-02-05,29.19,16.55,80.04,1009.08,6.21
1991-02-06,30.26,18.01,79.91,1011.98,11.88
1991-02-07,28.07,10.37,80.15,1007.18,11.66
1991-02-08,29.77,15.35,73.98,1011.91,7.52
1991-02-09,30.07,20.77,90.8,1006.07,3.96
1991-02-10,30.22,36.01,90.19,1010.63,9.02
1991-02-11,30.97,8.26,86.38,1011.52,12.12
1991-02-12,33.31,21.92,81.46,1009.92,6.46
1991-02-13,29.17,13.91,81.38,1010.46,8.36
1991-02-14,31.35,18.0,83.95,1009.02,10.31
1991-02-15,30.99,9.33,80.71,1009.09,7.31
1991-02-16,29.02,13.24,88.37,1010.79,10.39
1991-02-17,31.02,16.63,85.95,1009.69,10.53
1991-02-18,29.3,0.0,83.33,1014.27,11.85
1991-02-19,31.16,30.36,84.44,1010.59,8.76
1991-02-20,29.62,24.16,90.02,1009.58,9.1
1991-02-21,30.0,24.01,76.78,1003.11,8.9
1991-02-22,28.54,12.92,83.26,1008.64,12.9
1991-02-23,30.39,21.0,87.11,1006.58,12.08
1991-02-24,29.91,24.7,78.64,1005.34,11.64
1991-02-25,30.45,8.98,79.65,1013.38,7.62
1991-02-26,31.97,8.99,87.19,1009.01,11.21
1991-02-27,29.35,16.37,84.2,1006.99,11.48
1991-02-28,29.38,15.71,79.03,1002.31,9.62
1991-03-01,32.9,25.85,83.9,1009.21,10.04
1991-03-02,30.66,6.19,89.57,1012.15,11.44
1991-03-03,30.53,18.2,87.36,1011.78,9.29
1991-03-04,29.31,19.02,91.75,1006.28,7.06
1991-03-05,30.2,18.51,84.87,1010.73,9.55
1991-03-06,31.79,1.99,79.86,1009.69,6.71
1991-03-07,29.79,34.61,84.1,1010.69,7.48
1991-03-08,29.26,14.25,82.41,1013.84,11.12
1991-03-09,28.67,20.47,86.49,1013.42,13.16
1991-03-10,28.78,9.89,77.71,1009.3,10.93
1991-03-11,31.18,17.24,82.4,1010.46,8.33
1991-03-12,32.51,1.92,84.92,1016.07,10.01
1991-03-13,29.77,14.43,83.1,1014.12,5.58
1991-03-14,31.84,3.76,82.67,1008.71,11.18
1991-03-15,28.08,22.62,94.12,1005.91,10.38
1991-03-16,29.21,22.26,84.1,1008.08,10.98
1991-03-17,32.17,16.09,87.6,1006.12,8.09
1991-03-18,30.57,32.84,85.78,1009.06,10.0
1991-03-19,28.5,24.05,88.41,1008.64,9.06
1991-03-20,30.32,13.63,83.67,1016.3,9.51
1991-03-21,29.57,11.52,87.72,1009.46,8.7
1991-03-22,31.59,32.2,81.0,1004.4,12.02
1991-03-23,29.18,25.91,74.15,1012.68,7.58
1991-03-24,30.88,18.14,79.23,1008.78,11.37
1991-03-25,30.13,23.84,93.88,1005.31,13.23
1991-03-26,30.13,9.01,77.35,1009.43,11.84
1991-03-27,29.85,33.11,76.74,1009.96,7.5
1991-03-28,30.44,26.87,81.9,1002.19,10.4
1991-03-29,30.52,22.04,90.18,1006.79,11.36
1991-03-30,31.43,0.21,85.6,1008.49,9.84
1991-03-31,30.42,13.13,80.62,1010.1,7.83
1991-04-01,28.7,24.79,78.26,1012.0,10.93
1991-04-02,27.93,11.22,89.97,1007.06,9.07
1991-04-03,30.55,25.83,82.74,1008.21,12.84
1991-04-04,32.09,27.79,84.43,1007.58,8.34
1991-04-05,30.63,22.18,91.01,1011.95,6.99
1991-04-06,31.26,8.02,82.08,1010.75,13.99
1991-04-07,33.73,24.07,83.08,1011.6,11.78
1991-04-08,29.62,35.95,85.15,1011.49,11.33
1991-04-09,30.51,26.39,80.91,1008.33,7.8
1991-04-10,30.53,25.79,86.29,1015.02,9.99
1991-04-11,30.8,7.08,82.06,1012.09,11.7
1991-04-12,29.65,17.28,76.41,1008.93,11.78
1991-04-13,30.69,23.01,84.25,1010.02,8.68
1991-04-14,30.84,22.21,86.46,1008.42,5.69
1991-04-15,31.32,13.21,79.69,1012.08,9.22
1991-04-16,31.27,24.17,87.42,1005.9,12.42
1991-04-17,30.31,14.31,84.72,1004.67,10.82
1991-04-18,28.76,4.47,76.39,1013.34,8.74
1991-04-19,31.84,12.64,75.46,1006.65,12.47
1991-04-20,29.81,12.52,84.8,1011.51,12.23
1991-04-21,31.74,14.4,77.37,1008.76,10.52
1991-04-22,28.84,8.43,85.72,1009.85,10.07
1991-04-23,29.09,15.7,79.38,1012.67,12.07
1991-04-24,27.78,8.7,76.52,1008.05,9.83
1991-04-25,28.26,8.78,78.98,1010.62,10.14
1991-04-26,29.13,19.77,81.27,1009.19,13.35
1991-04-27,31.61,5.0,88.15,1012.43,7.7
1991-04-28,30.98,33.38,78.39,1007.25,12.04
1991-04-29,30.33,23.51,85.7,1011.17,7.35
1991-04-30,31.26,29.7,82.85,1009.87,6.94
1991-05-01,33.67,4.14,66.63,1013.37,9.33
1991-05-02,33.73,0.96,66.86,1009.48,10.45
1991-05-03,32.52,2.74,71.96,1008.69,6.79
1991-05-04,35.27,5.76,59.25,1012.07,8.99
1991-05-05,33.34,3.59,65.59,1007.65,8.62
1991-05-06,31.81,1.34,66.6,1007.85,11.36
1991-05-07,34.93,1.84,68.44,1011.5,10.94
1991-05-08,33.1,4.49,69.89,1006.29,11.74
1991-05-09,34.15,1.47,67.23,1012.05,9.58
1991-05-10,34.39,7.73,62.28,1005.86,10.61
1991-05-11,33.94,2.54,75.72,1005.98,11.39
1991-05-12,32.21,6.44,78.96,1007.7,8.9
